,n,Vf,ap,Ra,Ra_linearan,Ra_kvadratni,Ra_kubni,Ra_5_skrivenih_relu,Ra_7_skrivenih_relu,Ra_10_skrivenih_relu,Ra_5_skrivenih_tanh,Ra_5x2_skrivenih_relu
0,405,93,1.5,1.299,1.2340228432355178,1.4987394763530193,1.6228215298479833,1.0436251,1.2006742,1.2993437,1.2067243,1.2199497
1,405,93,2.0,1.223,1.2333415932355165,1.4248586954182616,1.5451355409480028,1.0916162,1.2113147,1.2407799,1.2122183,1.2699246
2,405,93,2.5,0.978,1.2326603432355154,1.3986341644835778,1.4197748314743088,1.1396072,1.2191194,1.2955284,1.2161121,1.1842666
3,405,93,3.0,1.097,1.2319790932355141,1.4200658835489681,1.385926901418781,1.187598,1.226924,1.350277,1.2286971,1.099286
4,405,130,1.5,2.058,1.3356533976455387,1.5212473768505625,1.5090212010438737,1.2074208,1.3137281,1.3460178,1.3503329,1.406187
5,405,130,2.0,1.87,1.3349721476455374,1.4488768554652687,1.4435124409238114,1.2554119,1.3790761,1.3167164,1.3526113,1.4723511
6,405,130,2.5,1.341,1.3342908976455363,1.4241625840800487,1.3536532746272156,1.3034029,1.3868806,1.371465,1.3484116,1.4444109
7,405,130,3.0,1.427,1.333609647645535,1.447104562694903,1.378631202145968,1.3513937,1.3946854,1.4262136,1.3498298,1.3238318
8,405,175,1.5,1.403,1.4592581259820505,1.597953534612448,1.5437052927983184,1.4066317,1.394661,1.4027836,1.5222902,1.4131494
9,405,175,2.0,1.395,1.4585768759820492,1.5274198153819074,1.4802535289204577,1.4546227,1.4621527,1.4090717,1.5223215,1.524468
10,405,175,2.5,1.809,1.4578956259820481,1.5045423461514413,1.420818768268042,1.5026135,1.5296445,1.4638202,1.5098493,1.6274271
11,405,175,3.0,1.557,1.4572143759820468,1.5293211269210492,1.5045885108329426,1.5506046,1.5617061,1.5185688,1.4986615,1.5576003
12,405,350,1.5,3.089,1.939943180624041,2.4109625332463454,2.6189280965189443,1.9734964,2.2024806,1.9980228,2.1415203,2.1830773
13,405,350,2.0,2.145,1.9392619306240397,2.3475719335065133,2.4304144740062865,2.2293322,2.1686106,1.9984672,2.1467829,2.1447504
14,405,350,2.5,1.995,1.9385806806240387,2.331837583766755,2.3562355579489735,2.277323,2.1347408,1.9945428,2.1200986,2.1064234
15,405,350,3.0,2.863,1.9378994306240374,2.3637594840270717,2.5355788483388837,2.3253138,2.100871,1.9906187,2.0752208,2.0680966
16,465,93,1.5,1.372,1.0823712999035033,1.1102348296727764,1.138071087404293,0.80592644,0.8392076,0.9087976,0.9149565,0.74989367
17,465,93,2.0,1.677,1.081690049903502,1.0452592406652095,1.1162896650231777,0.7371012,0.93376696,0.9426635,0.9154676,0.7865501
18,465,93,2.5,1.513,1.081008799903501,1.0279399016577169,1.033082077666871,0.78527415,1.0098926,0.90924627,0.9190904,0.82052433
19,465,93,3.0,1.767,1.0803275499034997,1.058276812650298,1.0276358253272875,0.9233831,1.0860181,0.96399486,0.9327479,0.8330971
20,465,130,1.5,0.717,1.1840018543135242,1.1163006732616776,1.0232302007861147,0.9205013,0.82198125,0.9554717,1.05287,0.7340153
21,465,130,2.0,0.74,1.183320604313523,1.052835343803575,1.0120828298838729,0.8542427,0.8894731,0.98927236,1.0481268,0.777061
22,465,130,2.5,0.773,1.1826393543135219,1.0370262643455463,0.9628336084036446,0.9022336,0.97273767,0.9851829,1.042412,0.8137175
23,465,130,3.0,0.575,1.1819581043135206,1.0688734348875915,1.014670036337293,1.0129455,1.0488632,1.0399315,1.0447807,0.8487492
24,465,175,1.5,0.828,1.307606582650036,1.1730097347833235,1.0422929456187335,1.0598491,0.98367476,1.0966487,1.2179404,0.88227785
25,465,175,2.0,0.938,1.3069253326500347,1.1113812074799747,1.0313257337006767,1.0534537,0.9704059,1.0716974,1.208488,0.89154965
26,465,175,2.5,0.89,1.3062440826500337,1.0974089301766994,1.0106240806066007,1.1014445,1.0378977,1.0775381,1.1927993,0.9522563
27,465,175,3.0,1.152,1.3055628326500324,1.1310929028734988,1.119375486328384,1.1494356,1.0855572,1.1322868,1.1822567,1.0022314
28,465,350,1.5,1.431,1.7882916372920268,1.9082522480385125,1.906983291817719,1.7470062,1.8779769,1.7272668,1.8128219,1.8683546
29,465,350,2.0,1.834,1.7876103872920255,1.8537668402258713,1.7636554097059076,1.8281629,1.8441072,1.8209476,1.800142,1.8292403
30,465,350,2.5,1.938,1.7869291372920244,1.8469376824133046,1.7209107896479838,1.8761542,1.8102374,1.8170235,1.761807,1.7901258
31,465,350,3.0,1.696,1.786247887292023,1.8877647746008122,1.9179369316358121,1.924145,1.7763674,1.8130994,1.7132676,1.7510114
32,560,93,1.5,0.589,0.8422563562944804,0.6944180560963105,0.7323356307316021,0.6246563,0.6142723,0.5886325,0.58551556,0.6373595
33,560,93,2.0,0.646,0.8415751062944793,0.6435423543067962,0.7770338144165192,0.645949,0.6554753,0.63321686,0.5869687,0.6711922
34,560,93,2.5,0.711,0.8408938562944781,0.6403229025173564,0.7385327128239632,0.6672417,0.7356584,0.60170865,0.5956599,0.68326604
35,560,93,3.0,0.486,0.8402126062944769,0.6847597007279898,0.7560198259457849,0.68853426,0.81178397,0.48638222,0.6129663,0.6955174
36,560,130,1.5,0.659,0.9438869107045013,0.6744506429131958,0.6315825040731883,0.66499794,0.6640285,0.64579266,0.706583,0.64400256
37,560,130,2.0,0.686,0.9432056607045002,0.6250852006731457,0.6844713751770184,0.6862906,0.6778655,0.68645287,0.7004176,0.6801601
38,560,130,2.5,0.704,0.942524410704499,0.6233760084331698,0.6774852754005414,0.7075833,0.6978939,0.6509554,0.6992925,0.71505034
39,560,130,3.0,0.775,0.9418431607044978,0.6693230661932681,0.7498117047356345,0.7288761,0.77462906,0.5609854,0.7064009,0.7271242
40,560,175,1.5,0.723,1.0674916390410132,0.6994976353877966,0.6450489885978217,0.7228844,0.72454286,0.8088254,0.8512307,0.6779301
41,560,175,2.0,0.878,1.0668103890410119,0.6519689953025,0.6951463596939687,0.73535484,0.7383799,0.84948564,0.83708596,0.6943157
42,560,175,2.5,0.69,1.0661291390410108,0.6520966052172776,0.7137361693117832,0.7566475,0.7522168,0.81390876,0.82491493,0.72439706
43,560,175,3.0,0.759,1.0654478890410095,0.6998804651321286,0.8400059174431505,0.7779403,0.76605386,0.7596077,0.82021284,0.76055473
44,560,350,1.5,1.44,1.5481766936830037,1.3116098801266958,1.2508200397732934,1.2647927,1.3641794,1.440421,1.3731966,1.4324285
45,560,350,2.0,1.161,1.5474954436830024,1.2712243595321078,1.1570002890406734,1.1959674,1.3303096,1.4835017,1.3410219,1.3933139
46,560,350,2.5,1.363,1.5468141936830013,1.2784950889375937,1.1419906800596205,1.2409694,1.2964399,1.5359516,1.2960699,1.3541995
47,560,350,3.0,1.266,1.546132943683,1.3334220683431537,1.3449787128220132,1.2889602,1.2625701,1.5320275,1.2520499,1.2709144
48,775,93,1.5,0.569,0.2988383260214287,0.6555243156539766,0.5068980692886573,0.51631814,0.5370327,0.57335335,0.49086213,0.56644714
49,775,93,2.0,0.503,0.2981570760214275,0.6365588849368974,0.6023083955105404,0.53761077,0.5508697,0.61793774,0.51051545,0.5517046
50,775,93,2.5,0.518,0.29747582602142636,0.6652497042198916,0.5652434273497016,0.5589035,0.56470674,0.6625221,0.53330505,0.5637784
51,775,93,3.0,0.554,0.29679457602142517,0.7415967735029607,0.5348906647980272,0.58019614,0.5603476,0.7071065,0.5552389,0.555866
52,775,130,1.5,0.597,0.4004688804314495,0.576639531881565,0.5092507491473572,0.55665976,0.58678883,0.5440909,0.5685833,0.5959846
53,775,130,2.0,0.57,0.3997876304314483,0.5591843607139497,0.607322044126114,0.5779523,0.600626,0.58867526,0.580417,0.6157315
54,775,130,2.5,0.597,0.3991063804314472,0.5893854395464089,0.5962423591193078,0.5992451,0.61446285,0.63325965,0.59649956,0.5955627
55,775,130,3.0,0.68,0.398425130431446,0.6672427683789421,0.6151991941188584,0.6205377,0.62829983,0.677844,0.6129057,0.6076366
56,775,175,1.5,0.664,0.5240736087679613,0.5300302628286402,0.5966745578540015,0.605724,0.6473032,0.5085014,0.66032094,0.6628888
